sample_id,source_mat_id,imos_site_code,coastal_id,sample_type,utc_date_sampled,utc_time_sampled,collection_date,notes,depth,tot_depth_water_col,samp_size,samp_vol_we_dna_ext,sample_volume_notes,sample_integrity_warnings,temp,AM_internal_notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,ammonium,chlorophyll_a,chlorophyll_ctd,conductivity_aqueous,fluor,nitrate_nitrite,nitrite,oxygen,par,part_org_carb,ph,phosphate,salinity,salinity_lab,secchi_depth,silicate,transmittance,tss,turbidity,nitrate,tot_nitro,tot_phosp
102.100.100/138778,102.100.100/138778,CSBAI,,Coastal water,18/06/2020,0:44:00,2020-06-18T00:44:00Z,,2,,2,2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138777,102.100.100/138777,CSBAI,,Coastal water,18/06/2020,0:53:00,2020-06-18T00:53:00Z,,2,,2,2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138776,102.100.100/138776,CSBAI,,Coastal water,18/06/2020,1:02:00,2020-06-18T01:02:00Z,,2,,2,2,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138621,102.100.100/138621,CSTRP,,Coastal water,18/06/2020,11:45:00,2020-06-18T11:45:00Z,,2,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138622,102.100.100/138622,CSTRP,,Coastal water,18/06/2020,11:50:00,2020-06-18T11:50:00Z,,2,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138623,102.100.100/138623,CSTRP,,Coastal water,18/06/2020,12:00:00,2020-06-18T12:00:00Z,,2,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/138991,102.100.100/138991,CSHOB,EPA VIC Site_Id 1991,Coastal water,23/06/2020,23:15:00,2020-06-23T23:15:00Z,,2,,,,,,12.4196,,28.41,meth_3.3.1,1.66,meth_3.3.1,0.286,1.1,,,1.147,0.857,0.143,258.266,94.2,,8.286,1.84,35.235,,4,2.996,,2.7,0.795,0.714,2.4e-05,8e-06
102.100.100/138992,102.100.100/138992,CSHOB,EPA VIC Site_Id 1991,Coastal water,23/06/2020,23:18:00,2020-06-23T23:18:00Z,,2,,,,,,12.4196,,13.96,meth_3.3.1,1.79,meth_3.3.1,0.286,1.1,,,1.147,0.857,0.143,258.266,94.2,,8.286,1.84,35.235,,4,2.996,,2.7,0.795,0.714,2.4e-05,8e-06
102.100.100/138993,102.100.100/138993,CSHOB,EPA VIC Site_Id 1991,Coastal water,23/06/2020,23:24:00,2020-06-23T23:24:00Z,,2,,,,,,12.4196,,13.37,meth_3.3.1,1.83,meth_3.3.1,0.286,1.1,,,1.147,0.857,0.143,258.266,94.2,,8.286,1.84,35.235,,4,2.996,,2.7,0.795,0.714,2.4e-05,8e-06
102.100.100/138775,102.100.100/138775,CSBAI,,Coastal water,2/07/2020,0:53:00,2020-07-02T00:53:00Z,,2,,2,2,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
