sample_id,source_mat_id,Extraction Number,imos_project,nrs_sample_code,samp_size,sample_volume_notes,sample_integrity_warnings,notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,QC_flag
102.100.100/22011,102.100.100/22011,,NRS,DAR20150803_1932_0,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22015,102.100.100/22015,,NRS,DAR20150803_1932_10,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22019,102.100.100/22019,,NRS,DAR20150803_1932_15,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22012,102.100.100/22012,,NRS,DAR20150803_2230_0,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22016,102.100.100/22016,,NRS,DAR20150803_2230_10,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22020,102.100.100/22020,,NRS,DAR20150803_2230_21,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22010,102.100.100/22010,,NRS,DAR20150804_0130_0,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22014,102.100.100/22014,,NRS,DAR20150804_0130_10,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22018,102.100.100/22018,,NRS,DAR20150804_0130_19,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22013,102.100.100/22013,,NRS,DAR20150804_0430_0,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22017,102.100.100/22017,,NRS,DAR20150804_0430_10,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/22021,102.100.100/22021,,NRS,DAR20150804_0430_16,-9999,Other - not recorded in field log sheets,,,-9999,-9999,-9999,-9999,1
102.100.100/34216,102.100.100/34216,,NRS,DAR20151117_0,0.5,High biomass/particulate matter,,,14.78,meth_3.3.1,1.78,meth_3.3.1,1
102.100.100/34217,102.100.100/34217,,NRS,DAR20151117_10,0.5,High biomass/particulate matter,,,14.39,meth_3.3.1,2.54,meth_3.3.1,1
102.100.100/34218,102.100.100/34218,,NRS,DAR20151117_19,0.5,High biomass/particulate matter,,,12.62,meth_3.3.1,2.23,meth_3.3.1,1
102.100.100/34219,102.100.100/34219,,NRS,DAR20160201_2130_0,1,High biomass/particulate matter,,,28.94,meth_3.3.1,2.3,meth_3.3.1,1
102.100.100/34220,102.100.100/34220,,NRS,DAR20160201_2130_10,1,High biomass/particulate matter,,,18.36,meth_3.3.1,1.95,meth_3.3.1,1
102.100.100/34234,102.100.100/34234,,NRS,DAR20160201_2130_16,1,High biomass/particulate matter,,,2.601,meth_3.3.1,2.45,meth_3.3.1,1
102.100.100/34237,102.100.100/34237,,NRS,DAR20160202_0030_0,1,High biomass/particulate matter,Other - all bottles filled in pouring rain small chance of freshwater contamination,,19.77,meth_3.3.1,1.98,meth_3.3.1,1
102.100.100/34238,102.100.100/34238,,NRS,DAR20160202_0030_10,1,High biomass/particulate matter,Other - all bottles filled in pouring rain small chance of freshwater contamination,,20.95,meth_3.3.1,1.95,meth_3.3.1,1
102.100.100/34243,102.100.100/34243,,NRS,DAR20160202_0030_18,0.9,High biomass/particulate matter| Mechanical breakage - tubing leak,Other - all bottles filled in pouring rain small chance of freshwater contamination,,25.5,meth_3.3.1,2.05,meth_3.3.1,1
102.100.100/34235,102.100.100/34235,,NRS,DAR20160202_0330_0,1,High biomass/particulate matter,,,13.93,meth_3.3.1,1.97,meth_3.3.1,1
102.100.100/34222,102.100.100/34222,,NRS,DAR20160202_0330_10,1,High biomass/particulate matter,,,16.02,meth_3.3.1,1.95,meth_3.3.1,1
102.100.100/34223,102.100.100/34223,,NRS,DAR20160202_0330_17,0.9,High biomass/particulate matter,,,11.62,meth_3.3.1,1.58,meth_3.3.1,1
102.100.100/34236,102.100.100/34236,,NRS,DAR20160202_0630_0,1,High biomass/particulate matter,,,27.02,meth_3.3.1,2.06,meth_3.3.1,1
102.100.100/34221,102.100.100/34221,,NRS,DAR20160202_0630_10,1,High biomass/particulate matter,,,19.21,meth_3.3.1,2.18,meth_3.3.1,1
102.100.100/34239,102.100.100/34239,,NRS,DAR20160202_0630_17,1,High biomass/particulate matter,,,20.54,meth_3.3.1,1.99,meth_3.3.1,1
102.100.100/34307,102.100.100/34307,,NRS,DAR20160530_0,0.8,High biomass/particulate matter,,,23.75,meth_3.3.1,1.63,meth_3.3.1,1
102.100.100/34308,102.100.100/34308,,NRS,DAR20160530_10,0.8,High biomass/particulate matter,,,16.88,meth_3.3.1,1.72,meth_3.3.1,1
102.100.100/34309,102.100.100/34309,,NRS,DAR20160530_15,0.8,High biomass/particulate matter,,,25.16,meth_3.3.1,1.67,meth_3.3.1,1
102.100.100/34781,102.100.100/34781,,NRS,DAR20160723_0,0.55,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34782,102.100.100/34782,,NRS,DAR20160723_10,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34783,102.100.100/34783,,NRS,DAR20160723_20,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34772,102.100.100/34772,,NRS,DAR20160724_0130_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34773,102.100.100/34773,,NRS,DAR20160724_0130_10,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34774,102.100.100/34774,,NRS,DAR20160724_0130_21,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34775,102.100.100/34775,,NRS,DAR20160724_0430_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34776,102.100.100/34776,,NRS,DAR20160724_0430_10,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34777,102.100.100/34777,,NRS,DAR20160724_0430_18,0.65,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34778,102.100.100/34778,,NRS,DAR20160724_0730_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34779,102.100.100/34779,,NRS,DAR20160724_0730_10,0.925,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34780,102.100.100/34780,,NRS,DAR20160724_0730_18,0.6,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34784,102.100.100/34784,,NRS,DAR20161107_0,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34785,102.100.100/34785,,NRS,DAR20161107_10,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34786,102.100.100/34786,,NRS,DAR20161107_15,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35355,102.100.100/35355,,NRS,DAR20170202_2130_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35356,102.100.100/35356,,NRS,DAR20170202_2130_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35357,102.100.100/35357,,NRS,DAR20170202_2130_19.5,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35364,102.100.100/35364,,NRS,DAR20170203_0030_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35365,102.100.100/35365,,NRS,DAR20170203_0030_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35366,102.100.100/35366,,NRS,DAR20170203_0030_18.5,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35361,102.100.100/35361,,NRS,DAR20170203_0330_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
